SLR_Var1,SLR_Var2,MLR
0.7201153918073575,0.8232089747544086,0.8604199405627128
0.7963782175962189,0.7806919711316674,0.8575149362984003
0.7318605783191783,0.7710341935925153,0.8367570224655505
0.8251567483266035,0.8078375858317579,0.8917840735579433
0.7698868020603946,0.7882750712453128,0.8699431066256246
0.7618702230898903,0.8077252268178302,0.8583663664268986
0.7489791429765813,0.7942532907241072,0.8564685928162737
0.7554921733508801,0.7917721347287062,0.8569767409333965
0.7812937377444844,0.8482927319290906,0.8843196062001797
0.7685901194417186,0.7617085059264148,0.8505843240540389
